Id,Description,Claimant,Price,Office,Category
2273,Staples Bulldog Clip,David Smith,3.78,Ontario,Rubber Bands
2274,"IBM Active Response Keyboard, Black",Magdelene Morse,39.98,Ontario,Computer Peripherals
2275,TI 30X Scientific Calculator,Magdelene Morse,11.99,Ontario,Office Machines
2276,"Peel & Seel® Recycled Catalog Envelopes, Brown",Michelle Huthwaite,11.58,Ontario,Envelopes
2277,Eldon Radial Chair Mat for Low to Medium Pile Carpets,David Philippe,39.98,Ontario,Office Furnishings
2278,Avery Premier Heavy-Duty Binder with Round Locking Rings,Nat Carroll,14.28,Ontario,Binders and Binder Accessories
2279,"Memorex 4.7GB DVD+RW, 3/Pack",Darren Budd,28.48,Ontario,Computer Peripherals
2280,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,James Lanier,7.84,Ontario,Binders and Binder Accessories
2281,Ampad #10 Peel & Seel® Holiday Envelopes,James Lanier,4.48,Ontario,Envelopes
2282,8890,Noah Childs,115.99,Ontario,Telephones and Communication
2283,Hon Multipurpose Stacking Arm Chairs,Duane Huffman,216.6,Ontario,Chairs & Chairmats
2284,Avery 503,Duane Huffman,10.35,Ontario,Labels
2285,Letter Size Cart,Dan Lawera,142.86,Ontario,Storage & Organization
2286,Staples® General Use 3-Ring Binders,Dan Lawera,1.88,Ontario,Binders and Binder Accessories
2287,Boston 1730 StandUp Electric Pencil Sharpener,Dan Lawera,21.38,Ontario,Pens & Art Supplies
2288,Peel-Off® China Markers,Alan Hwang,9.93,Ontario,Pens & Art Supplies
2289,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Duane Huffman,7.37,Ontario,Computer Peripherals
2290,"Memorex 4.7GB DVD-RAM, 3/Pack",Duane Huffman,31.78,Ontario,Computer Peripherals
2291,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Alan Hwang,81.94,Ontario,Bookcases
2292,Xerox 193,Alan Hwang,5.98,Ontario,Paper
2293,Global Ergonomic Managers Chair,Amy Cox,180.98,Ontario,Chairs & Chairmats
2294,"Master Caster Door Stop, Large Neon Orange",Amy Cox,7.28,Ontario,Office Furnishings
2295,Bush Mission Pointe Library,Darren Budd,4.98,Ontario,Bookcases
2296,Hon 4060 Series Tables,Darren Budd,60.98,Ontario,Tables
2297,GBC DocuBind TL300 Electric Binding System,Mike Caudle,896.99,Ontario,Binders and Binder Accessories
2298,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Mike Caudle,29.89,Ontario,Computer Peripherals
2299,"O'Sullivan Elevations Bookcase, Cherry Finish",Darren Budd,130.98,Ontario,Bookcases
2300,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",James Lanier,243.98,Ontario,Chairs & Chairmats
2301,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",James Lanier,4.89,Ontario,Computer Peripherals
2302,Rediform S.O.S. Phone Message Books,James Lanier,4.98,Ontario,Paper
2303,Xerox 199,Erin Creighton,4.28,Ontario,Paper
2304,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",Cari MacIntyre,3.6,Ontario,Paper
2305,Zebra Zazzle Fluorescent Highlighters,Allen Golden,6.08,Ontario,Pens & Art Supplies
2306,Boston 16801 Nautilus™ Battery Pencil Sharpener,Allen Golden,22.01,Ontario,Pens & Art Supplies
2307,"Avery Flip-Chart Easel Binder, Black",Eudokia Martin,22.38,Ontario,Binders and Binder Accessories
2308,G.E. Halogen Desk Lamp Bulbs,Eudokia Martin,6.98,Ontario,Office Furnishings
2309,StarTAC Series,Cari MacIntyre,65.99,Ontario,Telephones and Communication
2310,9-3/4 Diameter Round Wall Clock,Ruben Ausman,13.79,Ontario,Office Furnishings
2311,Fellowes Bases and Tops For Staxonsteel®/High-Stak® Systems,Ruben Ausman,33.29,Ontario,Storage & Organization
2312,Talkabout T8367,Anna Haberlin,65.99,Ontario,Telephones and Communication
2313,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Fred Hopkins,5.68,Ontario,Paper
2314,Accessory36,Fred Hopkins,55.99,Ontario,Telephones and Communication
2315,"24 Capacity Maxi Data Binder Racks, Pearl",Brian Stugart,210.55,Ontario,Storage & Organization
2316,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Amy Cox,80.98,Ontario,Appliances
2317,Fellowes Bases and Tops For Staxonsteel®/High-Stak® Systems,Amy Cox,33.29,Ontario,Storage & Organization
2318,Sharp 1540cs Digital Laser Copier,Cari MacIntyre,549.99,Ontario,Copiers and Fax
2319,2160,Cari MacIntyre,115.99,Ontario,Telephones and Communication
2320,Premium Transparent Presentation Covers by GBC,Eudokia Martin,20.98,Ontario,Binders and Binder Accessories
2321,DAX Solid Wood Frames,Michelle Huthwaite,9.77,Ontario,Office Furnishings
2322,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,Bill Stewart,78.69,Ontario,Office Furnishings
2323,Microsoft Internet Keyboard,Mike Caudle,20.97,Ontario,Computer Peripherals
2324,Avery 508,Mike Caudle,4.91,Ontario,Labels
2325,"Imation 3.5 IBM Diskettes, 10/Box",Andy Reiter,8.46,Ontario,Computer Peripherals
2326,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Erin Ashbrook,40.98,Ontario,Computer Peripherals
2327,Staples Copy Paper (20Lb. and 84 Bright),Jim Mitchum,4.98,Ontario,Paper
2328,Staples® General Use 3-Ring Binders,Amy Cox,1.88,Ontario,Binders and Binder Accessories
2329,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Amy Cox,45.98,Ontario,Office Furnishings
2330,Bush Advantage Collection® Round Conference Table,Cynthia Arntzen,212.6,Ontario,Tables
2331,Newell 321,Cynthia Arntzen,3.28,Ontario,Pens & Art Supplies
2332,"Belkin 325VA UPS Surge Protector, 6'",Melanie Page,120.98,Ontario,Appliances
2333,Accessory36,Melanie Page,55.99,Ontario,Telephones and Communication
2334,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Melanie Page,23.99,Ontario,Office Furnishings
2335,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Dave Hallsten,40.98,Ontario,Binders and Binder Accessories
2336,"Eureka Hand Vacuum, Bagless",Dave Hallsten,49.43,Ontario,Appliances
2337,Economy Binders,Eugene Hildebrand,2.08,Ontario,Binders and Binder Accessories
2338,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty™ Dirt Cup,Nancy Lomonaco,232.58,Ontario,Appliances
2339,Xerox 1920,Nancy Lomonaco,5.98,Ontario,Paper
2340,Accessory1,Gary Zandusky,35.99,Ontario,Telephones and Communication
2341,Acme Kleencut® Forged Steel Scissors,Andy Yotov,5.74,Ontario,"Scissors, Rulers and Trimmers"
2342,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Cynthia Arntzen,29.89,Ontario,Computer Peripherals
2343,Logitech Internet Navigator Keyboard,Edward Becker,30.98,Ontario,Computer Peripherals
2344,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Naresj Patel,27.18,Ontario,Envelopes
2345,Staples Plastic Wall Frames,Ed Ludwig,7.96,Ontario,Office Furnishings
2346,Panasonic KX-P1131 Dot Matrix Printer,Ed Ludwig,264.98,Ontario,Office Machines
2347,12 Colored Short Pencils,Ed Ludwig,2.6,Ontario,Pens & Art Supplies
2348,5185,Roy French,115.99,Ontario,Telephones and Communication
2349,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Aimee Bixby,39.48,Ontario,Appliances
2350,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Jesus Ocampo,98.31,Ontario,Labels
2351,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Naresj Patel,40.99,Ontario,Paper
2352,SAFCO Optional Arm Kit for Workspace® Cribbage Stacking Chair,Darren Budd,26.64,Ontario,Chairs & Chairmats
2353,DAX Solid Wood Frames,Darren Budd,3.08,Ontario,Office Furnishings
2354,"Eldon Regeneration Recycled Desk Accessories, Smoke",Darren Budd,1.74,Ontario,Office Furnishings
2355,Newell 314,Edward Nazzal,5.58,Ontario,Pens & Art Supplies
2356,Xerox 1899,Edward Nazzal,5.78,Ontario,Paper
2357,Carina Double Wide Media Storage Towers in Natural & Black,Eugene Hildebrand,80.98,Ontario,Storage & Organization
2358,GBC Standard Therm-A-Bind Covers,Eileen Kiefer,24.92,Ontario,Binders and Binder Accessories
2359,"80 Minute CD-R Spindle, 100/Pack - Staples",Jonathan Howell,39.48,Ontario,Computer Peripherals
2360,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Brian Stugart,56.96,Ontario,Appliances
2361,Staples Pushpins,Magdelene Morse,1.88,Ontario,Rubber Bands
2362,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Edward Becker,6.37,Ontario,Binders and Binder Accessories
2363,Eldon Executive Woodline II Cherry Finish Desk Accessories,Tamara Dahlen,40.89,Ontario,Office Furnishings
2364,"Angle-D Binders with Locking Rings, Label Holders",Eugene Hildebrand,7.3,Ontario,Binders and Binder Accessories
2365,Advantus Map Pennant Flags and Round Head Tacks,Eugene Hildebrand,3.95,Ontario,Rubber Bands
2366,Wilson Jones Impact Binders,Christine Phan,5.18,Ontario,Binders and Binder Accessories
2367,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Christine Phan,10.94,Ontario,Envelopes
2368,6120,Christine Phan,65.99,Ontario,Telephones and Communication
2369,Newell 339,Erin Smith,2.78,Ontario,Pens & Art Supplies
2370,Micro Innovations Media Access Pro Keyboard,Ted Trevino,77.51,Ontario,Computer Peripherals
2371,*Staples* Highlighting Markers,Ted Trevino,4.84,Ontario,Pens & Art Supplies
2372,Xerox 1994,Tamara Dahlen,6.48,Ontario,Paper
2373,Xerox 1936,Eileen Kiefer,19.98,Ontario,Paper
2374,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Ted Trevino,5.28,Ontario,Binders and Binder Accessories
2375,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",David Philippe,7.64,Ontario,Paper
2376,Xerox 1891,James Lanier,48.91,Ontario,Paper
2377,GBC DocuBind P100 Manual Binding Machine,James Lanier,165.98,Ontario,Binders and Binder Accessories
2378,Xerox 23,Anemone Ratner,6.48,Ontario,Paper
2379,Acme® Elite Stainless Steel Scissors,Anemone Ratner,8.34,Ontario,"Scissors, Rulers and Trimmers"
2380,Space Solutions Commercial Steel Shelving,Anemone Ratner,64.65,Ontario,Storage & Organization
2381,Newell 323,Cari MacIntyre,1.68,Ontario,Pens & Art Supplies
2382,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Cari MacIntyre,218.75,Ontario,Tables
2383,White GlueTop Scratch Pads,Cari MacIntyre,15.04,Ontario,Paper
2384,Holmes Odor Grabber,Melanie Page,14.42,Ontario,Appliances
2385,"Global Airflow Leather Mesh Back Chair, Black",Melanie Page,150.98,Ontario,Chairs & Chairmats
2386,Canon P1-DHIII Palm Printing Calculator,Melanie Page,17.98,Ontario,Office Machines
2387,A1228,Melanie Page,195.99,Ontario,Telephones and Communication
2388,Timeport L7089,Melanie Page,125.99,Ontario,Telephones and Communication
2389,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Cynthia Arntzen,140.98,Ontario,Bookcases
2390,*Staples* Highlighting Markers,Erin Smith,4.84,Ontario,Pens & Art Supplies
2391,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Chris Selesnick,4.91,Ontario,Binders and Binder Accessories
2392,"Memorex 4.7GB DVD+RW, 3/Pack",Chris Selesnick,28.48,Ontario,Computer Peripherals
2393,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Noel Staavos,99.23,Ontario,Office Furnishings
2394,Accessory8,Dean Braden,85.99,Ontario,Telephones and Communication
2395,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,George Bell,2.22,Ontario,Appliances
2396,"Micro Innovations Micro 3000 Keyboard, Black",George Bell,26.31,Ontario,Computer Peripherals
2397,Staples® General Use 3-Ring Binders,Edward Becker,1.88,Ontario,Binders and Binder Accessories
2398,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Lena Creighton,7.77,Ontario,Appliances
2399,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Joni Sundaresam,11.19,Ontario,Paper
2400,Xerox 212,Tamara Chand,6.48,Ontario,Paper
2401,Acme® Office Executive Series Stainless Steel Trimmers,Tamara Chand,8.57,Ontario,"Scissors, Rulers and Trimmers"
2402,BASF Silver 74 Minute CD-R,Tamara Chand,1.7,Ontario,Computer Peripherals
2403,Canon MP25DIII Desktop Whisper-Quiet Printing Calculator,Anthony Witt,51.98,Ontario,Office Machines
2404,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Anthony Witt,218.75,Ontario,Tables
2405,Rush Hierlooms Collection Rich Wood Bookcases,Erin Smith,160.98,Ontario,Bookcases
2406,5165,Erin Smith,175.99,Ontario,Telephones and Communication
2407,"Global Airflow Leather Mesh Back Chair, Black",George Ashbrook,150.98,Ontario,Chairs & Chairmats
2408,Euro Pro Shark Stick Mini Vacuum,George Ashbrook,60.98,Ontario,Appliances
2409,Fellowes Superior 10 Outlet Split Surge Protector,Nat Carroll,38.06,Ontario,Appliances
2410,Hon Olson Stacker Stools,Duane Huffman,140.81,Ontario,Chairs & Chairmats
2411,"Bush Westfield Collection Bookcases, Fully Assembled",George Ashbrook,100.98,Ontario,Bookcases
2412,Avery 506,George Ashbrook,4.13,Ontario,Labels
2413,Xerox Blank Computer Paper,Jonathan Howell,19.98,Ontario,Paper
2414,"SAFCO Mobile Desk Side File, Wire Frame",Jonathan Howell,42.76,Ontario,Storage & Organization
2415,Large Capacity Hanging Post Binders,David Philippe,24.95,Ontario,Binders and Binder Accessories
2416,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Matt Hagelstein,37.93,Ontario,Office Furnishings
2417,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Edward Nazzal,70.71,Ontario,Office Furnishings
2418,Xerox 1939,Edward Nazzal,18.97,Ontario,Paper
2419,Global Deluxe Office Fabric Chairs,Magdelene Morse,95.98,Ontario,Chairs & Chairmats
2420,Hayes Optima 56K V.90 Internal Voice Modem,Eudokia Martin,256.99,Ontario,Computer Peripherals
2421,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Darren Budd,1.68,Ontario,Office Furnishings
2422,Adesso Programmable 142-Key Keyboard,Jesus Ocampo,152.48,Ontario,Computer Peripherals
2423,Tuff Stuff™ Recycled Round Ring Binders,Allen Golden,4.82,Ontario,Binders and Binder Accessories
2424,2180,Allen Golden,175.99,Ontario,Telephones and Communication
2425,"Binney & Smith Crayola® Metallic Colored Pencils, 8-Color Set",Cynthia Arntzen,4.63,Ontario,Pens & Art Supplies
2426,Sensible Storage WireTech Storage Systems,Eileen Kiefer,70.98,Ontario,Storage & Organization
2427,Balt Solid Wood Rectangular Table,Philip Brown,105.49,Ontario,Tables
2428,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Darren Budd,5.98,Ontario,Computer Peripherals
2429,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Darren Budd,6.48,Ontario,Office Furnishings
2430,6162m,Ruben Ausman,115.99,Ontario,Telephones and Communication
2431,Accessory41,Ruben Ausman,35.99,Ontario,Telephones and Communication
2432,iDENi80s,Ruben Ausman,65.99,Ontario,Telephones and Communication
2433,Canon MP41DH Printing Calculator,Eileen Kiefer,150.98,Ontario,Office Machines
2434,Avery 506,George Bell,4.13,Ontario,Labels
2435,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",George Bell,54.74,Ontario,Office Furnishings
2436,Staples 4 Outlet Surge Protector,Matt Collister,8.67,Ontario,Appliances
2437,Logitech Cordless Elite Duo,Matt Collister,100.98,Ontario,Computer Peripherals
2438,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Cynthia Arntzen,6.98,Ontario,Paper
2439,Belkin MediaBoard 104- Keyboard,Brian Stugart,27.48,Ontario,Computer Peripherals
2440,HP Office Recycled Paper (20Lb. and 87 Bright),Edward Becker,5.78,Ontario,Paper
2441,Newell 342,Noah Childs,3.28,Ontario,Pens & Art Supplies
2442,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Darren Budd,26.38,Ontario,Office Furnishings
2443,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Dave Hallsten,350.98,Ontario,Chairs & Chairmats
2444,Storex DuraTech Recycled Plastic Frosted Binders,Edward Nazzal,4.24,Ontario,Binders and Binder Accessories
2445,Eldon Pizzaz™ Desk Accessories,Edward Nazzal,2.23,Ontario,Office Furnishings
2446,GBC DocuBind P50 Personal Binding Machine,Anemone Ratner,63.98,Ontario,Binders and Binder Accessories
2447,Staples 4 Outlet Surge Protector,Dan Lawera,8.67,Ontario,Appliances
2448,Logitech Cordless Elite Duo,Nancy Lomonaco,100.98,Ontario,Computer Peripherals
2449,Cardinal Holdit Business Card Pockets,Dan Lawera,4.98,Ontario,Binders and Binder Accessories
2450,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Dan Lawera,500.98,Ontario,Office Machines
2451,Fiskars® Softgrip Scissors,Dan Lawera,10.98,Ontario,"Scissors, Rulers and Trimmers"
2452,EcoTones® Memo Sheets,Theresa Coyne,4,Ontario,Paper
2453,Avery 484,Lena Creighton,2.88,Ontario,Labels
2454,Xerox 1952,Lena Creighton,4.98,Ontario,Paper
2455,Boston 1799 Powerhouse™ Electric Pencil Sharpener,David Philippe,25.98,Ontario,Pens & Art Supplies
2456,"Carina Mini System Audio Rack, Model AR050B",Lena Creighton,110.98,Ontario,Storage & Organization
2457,3.6 Cubic Foot Counter Height Office Refrigerator,James Lanier,294.62,Ontario,Appliances
2458,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Darren Budd,39.06,Ontario,Chairs & Chairmats
2459,Staples SlimLine Pencil Sharpener,Philip Brown,11.97,Ontario,Pens & Art Supplies
2460,U.S. Robotics 56K Internet Call Modem,Jeremy Ellison,99.99,Ontario,Computer Peripherals
2461,"Hon Metal Bookcases, Putty",Darren Budd,6.48,Ontario,Bookcases
2462,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,Darren Budd,3.29,Ontario,Chairs & Chairmats
2463,5170,Cari MacIntyre,65.99,Ontario,Telephones and Communication
2464,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Alan Hwang,29.14,Ontario,Paper
2465,"Iris® 3-Drawer Stacking Bin, Black",Alan Hwang,20.89,Ontario,Storage & Organization
2466,"Situations Contoured Folding Chairs, 4/Set",Magdelene Morse,70.98,Ontario,Chairs & Chairmats
2467,Adesso Programmable 142-Key Keyboard,Magdelene Morse,152.48,Ontario,Computer Peripherals
2468,Xerox 1908,Magdelene Morse,55.98,Ontario,Paper
2469,"Dixon My First Ticonderoga Pencil, #2",Alan Hwang,5.85,Ontario,Pens & Art Supplies
2470,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Alan Hwang,70.97,Ontario,Appliances
2471,"Advantus Push Pins, Aluminum Head",Aimee Bixby,5.81,Ontario,Rubber Bands
2472,Array® Memo Cubes,Lena Creighton,5.18,Ontario,Paper
2473,"Bevis Round Bullnose 29"" High Table Top",Lena Creighton,259.71,Ontario,Tables
2474,"Master Giant Foot® Doorstop, Safety Yellow",Eugene Hildebrand,7.59,Ontario,Office Furnishings
2475,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Eugene Hildebrand,9.11,Ontario,Paper
2476,Xerox 1978,Eugene Hildebrand,5.78,Ontario,Paper
2477,5165,Noel Staavos,175.99,Ontario,Telephones and Communication
2478,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Philip Brown,355.98,Ontario,Chairs & Chairmats
2479,GBC DocuBind P100 Manual Binding Machine,Eudokia Martin,165.98,Ontario,Binders and Binder Accessories
2480,Hoover WindTunnel™ Plus Canister Vacuum,Edward Nazzal,363.25,Ontario,Appliances
2481,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",Edward Nazzal,3.34,Ontario,Pens & Art Supplies
2482,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Erin Ashbrook,39.98,Ontario,Envelopes
2483,*Staples* Highlighting Markers,Tamara Chand,4.84,Ontario,Pens & Art Supplies
2484,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Mike Caudle,82.99,Ontario,Computer Peripherals
2485,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Mike Caudle,11.66,Ontario,Pens & Art Supplies
2486,Accessory37,Cari MacIntyre,20.99,Ontario,Telephones and Communication
2487,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Alan Hwang,59.98,Ontario,Appliances
2488,3390,Alan Hwang,65.99,Ontario,Telephones and Communication
2489,Avery Legal 4-Ring Binder,Dave Hallsten,20.98,Ontario,Binders and Binder Accessories
2490,"DAX Metal Frame, Desktop, Stepped-Edge",Fred Hopkins,20.24,Ontario,Office Furnishings
2491,Letter or Legal Size Expandable Poly String Tie Envelopes,Jonathan Howell,2.66,Ontario,Envelopes
2492,Keytronic 105-Key Spanish Keyboard,Matt Collister,73.98,Ontario,Computer Peripherals
2493,Xerox 1983,Duane Huffman,5.98,Ontario,Paper
2494,Eldon Simplefile® Box Office®,Duane Huffman,12.44,Ontario,Storage & Organization
2495,TIMEPORT P8767,Kelly Lampkin,65.99,Ontario,Telephones and Communication
2496,Binding Machine Supplies,Edward Nazzal,29.17,Ontario,Binders and Binder Accessories
2497,High Speed Automatic Electric Letter Opener,Philip Brown,1637.53,Ontario,"Scissors, Rulers and Trimmers"
2498,Panasonic KX-P1150 Dot Matrix Printer,Dean Braden,145.45,Ontario,Office Machines
2499,"Wilson Jones Hanging View Binder, White, 1""",Erica Smith,7.1,Ontario,Binders and Binder Accessories
2500,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Erica Smith,4.98,Ontario,Computer Peripherals
2501,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Dave Hallsten,23.99,Ontario,Envelopes
2502,Xerox 1908,Dave Hallsten,55.98,Ontario,Paper
2503,Fellowes Super Stor/Drawer® Files,Dave Hallsten,161.55,Ontario,Storage & Organization
2504,Hon 5100 Series Wood Tables,Dave Hallsten,290.98,Ontario,Tables
2505,Xerox 1977,Erica Smith,6.68,Ontario,Paper
2506,"Fellowes Personal Hanging Folder Files, Navy",Jim Mitchum,13.43,Ontario,Storage & Organization
2507,StarTAC 7760,Jim Mitchum,65.99,Ontario,Telephones and Communication
2508,Belkin ErgoBoard™ Keyboard,Jim Mitchum,30.98,Ontario,Computer Peripherals
2509,Imation DVD-RAM discs,Jim Mitchum,35.41,Ontario,Computer Peripherals
2510,LX 677,David Philippe,110.99,Ontario,Telephones and Communication
2511,"Metal Folding Chairs, Beige, 4/Carton",Darren Budd,1.81,Ontario,Chairs & Chairmats
2512,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Darren Budd,20.98,Ontario,Chairs & Chairmats
2513,Telescoping Adjustable Floor Lamp,Darren Budd,279.48,Ontario,Office Furnishings
2514,"Iceberg OfficeWorks 42"" Round Tables",Darren Budd,4.91,Ontario,Tables
2515,232,Darren Budd,125.99,Ontario,Telephones and Communication
2516,Presstex Flexible Ring Binders,George Ashbrook,4.55,Ontario,Binders and Binder Accessories
2517,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",George Ashbrook,9.78,Ontario,Envelopes
2518,Decoflex Hanging Personal Folder File,Tamara Chand,15.42,Ontario,Storage & Organization
2519,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Darren Budd,8.46,Ontario,Computer Peripherals
2520,Xerox 1897,Edward Becker,4.98,Ontario,Paper
2521,Eldon® Wave Desk Accessories,David Philippe,2.08,Ontario,Office Furnishings
2522,GBC VeloBinder Strips,Anemone Ratner,7.68,Ontario,Binders and Binder Accessories
2523,2160i,Anemone Ratner,200.99,Ontario,Telephones and Communication
2524,Bionaire Personal Warm Mist Humidifier/Vaporizer,Janet Martin,46.89,Ontario,Appliances
2525,Colored Envelopes,Janet Martin,3.69,Ontario,Envelopes
2526,"Global Leather and Oak Executive Chair, Black",Edward Nazzal,300.98,Ontario,Chairs & Chairmats
2527,Advantus SlideClip™ Paper Clips,Edward Nazzal,3.41,Ontario,Rubber Bands
2528,Document Clip Frames,Alan Hwang,8.34,Ontario,Office Furnishings
2529,Canon MP100DHII Printing Calculator,Alan Hwang,140.99,Ontario,Office Machines
2530,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Eugene Hildebrand,200.98,Ontario,Chairs & Chairmats
2531,Hewlett-Packard 4.7GB DVD+R Discs,Andrew Roberts,8.5,Ontario,Computer Peripherals
2532,Document Clip Frames,Andrew Roberts,8.34,Ontario,Office Furnishings
2533,Xerox 1891,Andrew Roberts,48.91,Ontario,Paper
2534,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",David Smith,11.19,Ontario,Paper
2535,Newell 342,Edward Becker,3.28,Ontario,Pens & Art Supplies
2536,M70,Edward Becker,125.99,Ontario,Telephones and Communication
2537,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,Magdelene Morse,64.98,Ontario,Storage & Organization
2538,Belkin 8 Outlet Surge Protector,Jim Mitchum,40.98,Ontario,Appliances
2539,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Jim Mitchum,12.99,Ontario,Office Furnishings
2540,Plymouth Boxed Rubber Bands by Plymouth,Ed Ludwig,4.71,Ontario,Rubber Bands
2541,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Ed Ludwig,4.2,Ontario,Paper
2542,Safco Industrial Wire Shelving,Michael Dominguez,95.99,Ontario,Storage & Organization
2543,Avery White Multi-Purpose Labels,Thomas Boland,4.98,Ontario,Labels
2544,GBC ProClick Spines for 32-Hole Punch,Olvera Toch,12.53,Ontario,Binders and Binder Accessories
2545,"Global Push Button Manager's Chair, Indigo",Lena Radford,60.89,Ontario,Chairs & Chairmats
2546,Strathmore Photo Mount Cards,Sean Christensen,6.78,Ontario,Paper
2547,Global Troy™ Executive Leather Low-Back Tilter,Todd Boyes,500.98,Ontario,Chairs & Chairmats
2548,7160,Todd Boyes,140.99,Ontario,Telephones and Communication
2549,5165,Todd Boyes,175.99,Ontario,Telephones and Communication
2550,Avery 479,Todd Boyes,2.61,Ontario,Labels
2551,"Memorex 80 Minute CD-R, 30/Pack",Todd Boyes,22.98,Ontario,Computer Peripherals
2552,Staples Bulldog Clip,Todd Boyes,3.78,Ontario,Rubber Bands
2553,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Todd Boyes,34.76,Ontario,Storage & Organization
2554,2190,Todd Boyes,65.99,Ontario,Telephones and Communication
2555,Avery 52,Michael Dominguez,3.69,Ontario,Labels
2556,"Binney & Smith Crayola® Metallic Colored Pencils, 8-Color Set",Michael Dominguez,4.63,Ontario,Pens & Art Supplies
2557,Avery 491,Sean Miller,4.13,Ontario,Labels
2558,Super Decoflex Portable Personal File,Sean Miller,14.98,Ontario,Storage & Organization
2559,Large Capacity Hanging Post Binders,Todd Boyes,24.95,Ontario,Binders and Binder Accessories
2560,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Todd Boyes,15.98,Ontario,Computer Peripherals
